	SplitComp_vs_Any	Triads_vs_Any	Analog_vs_Any	Complem_vs_Any	Warm_vs_Cool	Analog_vs_Analog	SplitComp_vs_SplitComp	Average per user
P1	2.596	2.589	2.458	2.845	6.043	3.293	2.427	2.617
P2	2.002	1.73	2.08	2.256	3.778	2.451	1.318	2.207
P3	1.383	1.339	1.441	1.454	3.149	1.531	1.529	1.538
P4	1.451	1.512	1.532	1.354	2.281	1.754	1.467	1.476
P5	1.47	1.47	1.314	1.316	1.872	1.276	1.6	1.415
P6	1.893	1.801	1.688	1.04	1.651	1.567	2.204	1.689
P7	3.104	3.241	3.251	3.611	2.368	2.469	1.336	3.033
P8	3.834	4.599	3.933	3.3	8.345	4.604	4.005	4.03
P9	2.67	2.976	2.644	2.546	4.521	2.795	2.235	2.642
P10	4.05	3.598	4.336	2.899	12.548	6.501	4.639	4.308
P11	1.901	1.874	2.045	1.633	1.868	2.421	1.431	2.004
P12	2.143	2.346	2.494	1.487	3.073	3.432	2.467	2.319
P13	1.906	1.686	1.733	1.698	1.919	1.376	1.564	1.834
P14	2.006	1.725	1.873	1.614	2.285	1.649	2.119	1.901
P15	2.181	2.073	1.958	1.835	3.649	2.363	2.632	2.099
