selected,left,right,elapsed,,,
a_CC,a_An_R,a_CC,2.33195,,,
c_An_G,c_An_G,c_SpCo_B,3.119,,,
a_An_G,a_An_B,a_An_G,7.106,,,2.331949138
c_Tr,c_SpCo_R,c_Tr,2.886,,,
c_SpCo_R,c_SpCo_R,c_CC,2.802,,,
a_Co_R,a_Co_R,a_SpCo_B,2.369,,,
a_CC,a_An_G,a_CC,4.954,,,
a_SpCo_B,a_Co_B,a_SpCo_B,2.719,,,
a_An_R,a_An_R,a_SpCo_G,2.92,,,
c_An_G,c_An_G,c_Tr,3.202,,,
c_An_G,c_An_G,c_Co_R,4.371,,,
c_An_R,c_An_R,c_SpCo_B,3.369,,,
a_SpCo_R,a_SpCo_R,a_CC,8.291,,,
c_An_G,c_An_G,c_Co_G,4.237,,,
c_Warm,c_Warm,c_Cool,4.27,,,
a_An_R,a_An_R,a_Tr,3.686,,,
a_SpCo_B,a_An_G,a_SpCo_B,4.872,,,
a_CC,a_SpCo_G,a_CC,2.118,,,
c_SpCo_R,c_An_G,c_SpCo_R,2.836,,,
c_SpCo_R,c_Co_G,c_SpCo_R,4.62,,,
c_An_G,c_An_G,c_Co_B,4.27,,,
a_SpCo_R,a_SpCo_R,a_SpCo_G,2.07,,,
c_Co_R,c_Co_R,c_Co_G,2.135,,,
c_Co_B,c_Co_B,c_SpCo_B,3.953,,,
c_An_B,c_An_B,c_SpCo_R,3.286,,,
a_SpCo_R,a_Co_R,a_SpCo_R,1.901,,,
a_Tr,a_SpCo_G,a_Tr,1.919,,,
c_Co_B,c_Co_B,c_SpCo_G,3.52,,,
a_SpCo_R,a_An_R,a_SpCo_R,4.854,,,
c_An_B,c_An_B,c_Tr,1.584,,,
a_CC,a_Co_G,a_CC,1.819,,,
a_An_B,a_An_B,a_CC,4.803,,,
a_SatL_B,a_SatH_B,a_SatL_B,3.488,,,
c_Tr,c_SpCo_G,c_Tr,1.651,,,
c_SpCo_R,c_Co_B,c_SpCo_R,1.601,,,
a_SatH_R,a_SatH_R,a_SatL_R,3.403,,,
a_Tr,a_SpCo_B,a_Tr,4.854,,,
c_SatH_R,c_SatH_R,c_SatL_R,1.635,,,
a_CC,a_SpCo_B,a_CC,6.039,,,
a_An_R,a_An_R,a_An_B,4.704,,,
c_SpCo_G,c_Co_G,c_SpCo_G,2.268,,,
a_An_R,a_An_R,a_An_G,1.535,,,
c_SatH_G,c_SatH_G,c_SatL_G,1.501,,,
c_Co_G,c_Co_G,c_CC,4.153,,,
c_An_R,c_An_R,c_Tr,1.368,,,
a_An_B,a_An_B,a_SpCo_G,2.837,,,
a_Tr,a_Co_R,a_Tr,2.068,,,
c_An_R,c_An_R,c_Co_R,1.684,,,
c_An_B,c_An_B,c_SpCo_G,1.802,,,
a_Co_R,a_Co_R,a_SpCo_G,3.77,,,
c_An_R,c_An_R,c_SpCo_G,1.401,,,
a_SpCo_R,a_An_G,a_SpCo_R,1.951,,,
a_An_G,a_An_G,a_Co_B,4.939,,,
c_An_R,c_An_R,c_An_B,3.286,,,
a_An_R,a_An_R,a_Co_G,1.634,,,
c_SpCo_B,c_SpCo_B,c_SpCo_G,2.602,,,
c_SpCo_R,c_SpCo_R,c_SpCo_B,1.618,,,
a_CC,a_CC,a_Tr,3.954,,,
a_An_B,a_An_B,a_Co_B,1.702,,,
c_An_B,c_An_B,c_An_G,3.303,,,
c_SpCo_R,c_SpCo_R,c_SpCo_G,1.751,,,
a_Tr,a_Co_G,a_Tr,1.735,,,
a_An_B,a_An_B,a_Co_G,1.217,,,
c_An_R,c_An_R,c_An_G,3.62,,,
c_An_B,c_An_B,c_Co_G,1.768,,,
a_An_G,a_An_G,a_SpCo_G,2.586,,,
c_Co_B,c_Co_R,c_Co_B,2.119,,,
a_SatL_G,a_SatH_G,a_SatL_G,6.372,,,
a_Tr,a_An_G,a_Tr,2.201,,,
a_SpCo_R,a_SpCo_R,a_Tr,2.169,,,
c_SpCo_B,c_Co_G,c_SpCo_B,1.985,,,
c_CC,c_Co_B,c_CC,2.869,,,
c_SpCo_G,c_Co_R,c_SpCo_G,2.486,,,
c_CC,c_SpCo_B,c_CC,4.787,,,
a_An_B,a_An_B,a_Tr,2.536,,,
c_Tr,c_Co_R,c_Tr,3.169,,,
c_An_G,c_An_G,c_SpCo_G,1.434,,,
c_An_B,c_An_B,c_SpCo_B,1.735,,,
a_SpCo_R,a_An_B,a_SpCo_R,2.503,,,
a_SpCo_G,a_Co_G,a_SpCo_G,2.519,,,
a_Warm,a_Warm,a_Cool,6.322,,,
c_SpCo_B,c_Co_R,c_SpCo_B,1.701,,,
a_An_G,a_An_G,a_Co_R,3.57,,,
c_SatH_B,c_SatH_B,c_SatL_B,1.201,,,
a_An_G,a_An_G,a_Co_G,1.317,,,
a_Tr,a_Co_B,a_Tr,2.17,,,
c_CC,c_CC,c_Tr,3.936,,,
c_An_B,c_An_B,c_Co_R,1.134,,,
a_SpCo_R,a_SpCo_R,a_SpCo_B,3.904,,,
c_An_R,c_An_R,c_CC,3.452,,,
c_Tr,c_Co_G,c_Tr,2.586,,,
c_Tr,c_Co_B,c_Tr,3.737,,,
c_CC,c_An_G,c_CC,3.069,,,
a_CC,a_Co_B,a_CC,2.135,,,
c_An_R,c_An_R,c_Co_G,1.351,,,
a_SpCo_B,a_Co_G,a_SpCo_B,2.486,,,
a_Co_B,a_Co_B,a_SpCo_G,5.304,,,
a_SpCo_R,a_Co_B,a_SpCo_R,1.169,,,
a_An_R,a_An_R,a_Co_R,2.785,,,
a_Co_R,a_Co_R,a_Co_B,2.119,,,
c_CC,c_SpCo_G,c_CC,1.634,,,
c_An_B,c_An_B,c_CC,1.034,,,
a_SpCo_B,a_SpCo_B,a_SpCo_G,2.285,,,
c_SpCo_R,c_Co_R,c_SpCo_R,1.452,,,
c_An_R,c_An_R,c_Co_B,1.201,,,
a_An_R,a_An_R,a_SpCo_B,2.852,,,
a_An_B,a_An_B,a_Co_R,2.219,,,
a_SpCo_B,a_An_B,a_SpCo_B,3.153,,,
a_Co_B,a_Co_B,a_Co_G,2.152,,,
c_An_B,c_An_B,c_Co_B,1.334,,,
a_CC,a_Co_R,a_CC,4.704,,,
a_SpCo_R,a_Co_G,a_SpCo_R,2.035,,,
c_Co_B,c_Co_B,c_Co_G,2.669,,,
a_An_R,a_An_R,a_Co_B,3.053,,,
c_SpCo_B,c_SpCo_B,c_Tr,2.869,,,
a_Co_R,a_Co_R,a_Co_G,3.436,,,
c_CC,c_Co_R,c_CC,1.084,,,
c_An_R,c_An_R,c_SpCo_R,1.268,,,
a_Tr,a_Tr,a_Co_R,4.487,,,
c_SpCo_R,c_Tr,c_SpCo_R,3.571,,,
c_An_B,c_SpCo_G,c_An_B,1.467,,,
a_SpCo_R,a_SpCo_R,a_Co_B,3.52,,,
a_Tr,a_Tr,a_Co_B,2.502,,,
c_Co_B,c_Co_G,c_Co_B,1.518,,,
a_An_B,a_Co_B,a_An_B,2.068,,,
a_CC,a_CC,a_An_G,1.918,,,
a_SpCo_R,a_SpCo_B,a_SpCo_R,2.135,,,
c_An_B,c_CC,c_An_B,2.837,,,
c_SpCo_B,c_SpCo_B,c_Co_G,2.019,,,
c_An_R,c_An_B,c_An_R,2.285,,,
c_An_R,c_CC,c_An_R,1.951,,,
a_An_G,a_Co_G,a_An_G,3.42,,,
c_An_G,c_Tr,c_An_G,1.334,,,
c_SpCo_R,c_SpCo_R,c_An_G,1.268,,,
c_An_B,c_Co_B,c_An_B,1.217,,,
a_An_R,a_SpCo_B,a_An_R,2.52,,,
a_An_R,a_An_B,a_An_R,2.969,,,
a_SpCo_R,a_Tr,a_SpCo_R,1.818,,,
a_SpCo_B,a_SpCo_B,a_An_G,1.885,,,
a_CC,a_CC,a_An_B,2.936,,,
a_An_R,a_Tr,a_An_R,2.835,,,
a_CC,a_CC,a_Co_B,1.535,,,
c_SpCo_G,c_SpCo_G,c_Co_G,1.768,,,
c_An_R,c_Tr,c_An_R,1.202,,,
c_CC,c_CC,c_Co_G,1.601,,,
a_An_G,a_SpCo_G,a_An_G,2.285,,,
a_Co_R,a_Co_R,a_An_G,2.519,,,
a_An_B,a_SpCo_B,a_An_B,5.588,,,
c_SpCo_R,c_CC,c_SpCo_R,3.219,,,
c_An_R,c_An_G,c_An_R,1.385,,,
a_An_R,a_Co_R,a_An_R,2.236,,,
a_An_R,a_Co_B,a_An_R,1.801,,,
c_An_B,c_Tr,c_An_B,1.685,,,
a_Tr,a_Tr,a_SpCo_B,4.187,,,
c_SpCo_B,c_SpCo_B,c_Co_R,2.235,,,
a_CC,a_Tr,a_CC,2.268,,,
c_An_R,c_Co_B,c_An_R,1.085,,,
c_CC,c_CC,c_Co_B,1.984,,,
c_An_R,c_SpCo_R,c_An_R,1.586,,,
a_SpCo_G,a_SpCo_G,a_Co_G,5.471,,,
a_CC,a_CC,a_Co_R,2.936,,,
c_An_G,c_CC,c_An_G,2.502,,,
a_An_G,a_Co_B,a_An_G,3.403,,,
c_SpCo_R,c_SpCo_R,c_Co_B,1.017,,,
a_Co_B,a_Co_B,a_Co_R,4.855,,,
a_Tr,a_Tr,a_An_G,2.218,,,
a_An_B,a_Tr,a_An_B,1.301,,,
c_An_R,c_SpCo_B,c_An_R,1.035,,,
a_SpCo_B,a_SpCo_G,a_SpCo_B,5.504,,,
c_Co_B,c_SpCo_G,c_Co_B,2.018,,,
c_CC,c_CC,c_Co_R,2.103,,,
c_An_B,c_Co_G,c_An_B,1.051,,,
c_SpCo_R,c_SpCo_R,c_Co_G,1.118,,,
a_An_G,a_An_G,a_An_B,2.201,,,
a_SatL_G,a_SatL_G,a_SatH_G,3.086,,,
c_Co_R,c_Co_G,c_Co_R,1.668,,,
a_CC,a_CC,a_SpCo_R,1.218,,,
a_SpCo_B,a_SpCo_B,a_Co_B,1.918,,,
a_Tr,a_Tr,a_SpCo_G,1.535,,,
c_Tr,c_Tr,c_Co_R,2.618,,,
c_An_G,c_SpCo_B,c_An_G,2.57,,,
a_Co_B,a_SpCo_G,a_Co_B,1.985,,,
c_Tr,c_Tr,c_SpCo_G,1.835,,,
a_SatH_R,a_SatL_R,a_SatH_R,1.818,,,
c_An_G,c_SpCo_G,c_An_G,1.718,,,
a_Co_R,a_SpCo_G,a_Co_R,2.152,,,
c_SatH_R,c_SatL_R,c_SatH_R,1.918,,,
a_Tr,a_Tr,a_Co_G,4.287,,,
a_Co_R,a_Co_G,a_Co_R,1.218,,,
a_An_R,a_Co_G,a_An_R,1.151,,,
a_An_B,a_Co_G,a_An_B,1.318,,,
c_SpCo_R,c_SpCo_G,c_SpCo_R,1.434,,,
c_Tr,c_Tr,c_Co_B,1.635,,,
a_SpCo_R,a_SpCo_R,a_An_B,2.269,,,
c_An_B,c_SpCo_R,c_An_B,1.518,,,
c_Co_R,c_SpCo_G,c_Co_R,1.734,,,
a_SpCo_R,a_SpCo_R,a_Co_G,1.568,,,
c_An_B,c_Co_R,c_An_B,1.234,,,
c_An_R,c_SpCo_G,c_An_R,1.435,,,
a_An_B,a_Co_R,a_An_B,2.203,,,
a_An_R,a_An_G,a_An_R,1.835,,,
a_SpCo_R,a_SpCo_R,a_Co_R,2.085,,,
a_SatL_B,a_SatL_B,a_SatH_B,6.054,,,
a_Cool,a_Cool,a_Warm,6.272,,,
a_CC,a_CC,a_SpCo_G,1.552,,,
c_Tr,c_Tr,c_Co_G,1.418,,,
c_Co_B,c_Co_B,c_Co_R,2.252,,,
c_Tr,c_Tr,c_CC,3.269,,,
c_An_B,c_SpCo_B,c_An_B,1.585,,,
c_SpCo_B,c_SpCo_G,c_SpCo_B,2.168,,,
a_CC,a_CC,a_SpCo_B,2.619,,,
c_Tr,c_Tr,c_SpCo_B,3.27,,,
a_CC,a_CC,a_Co_G,1.552,,,
a_An_B,a_SpCo_G,a_An_B,1.651,,,
c_An_R,c_Co_G,c_An_R,1.234,,,
c_SatH_B,c_SatL_B,c_SatH_B,2.369,,,
c_SatH_G,c_SatL_G,c_SatH_G,1.434,,,
c_An_G,c_Co_G,c_An_G,2.269,,,
a_SpCo_R,a_SpCo_R,a_An_R,4.937,,,
c_An_R,c_Co_R,c_An_R,1.385,,,
c_SpCo_B,c_SpCo_B,c_Co_B,3.937,,,
a_An_R,a_SpCo_G,a_An_R,5.488,,,
c_Cool,c_Cool,c_Warm,7.306,,,
a_Co_B,a_Co_G,a_Co_B,4.504,,,
c_An_G,c_Co_R,c_An_G,1.368,,,
a_SpCo_B,a_SpCo_B,a_Co_G,2.085,,,
c_An_B,c_An_G,c_An_B,5.288,,,
a_CC,a_CC,a_An_R,1.184,,,
a_SpCo_B,a_SpCo_B,a_Co_R,2.035,,,
a_SpCo_R,a_SpCo_R,a_An_G,1.986,,,
a_SpCo_R,a_SpCo_G,a_SpCo_R,1.585,,,
c_An_G,c_Co_B,c_An_G,1.568,,,
c_CC,c_CC,c_SpCo_G,2.502,,,
c_SpCo_R,c_SpCo_R,c_Co_R,1.601,,,
c_SpCo_R,c_SpCo_B,c_SpCo_R,2.068,,,
c_CC,c_CC,c_SpCo_B,2.185,,,
c_Co_G,c_An_G,c_Co_G,0,,,
a_An_R,a_An_R,a_An_B,6.923,,,
c_SpCo_R,c_An_G,c_SpCo_R,1.368,,,
c_Tr,c_CC,c_Tr,1.434,,,
c_Co_B,c_Co_B,c_SpCo_G,3.436,,,
c_Co_B,c_An_R,c_Co_B,1.135,,,
c_An_R,c_An_R,c_An_G,1.634,,,
a_Co_B,a_An_B,a_Co_B,5.805,,,
a_An_R,a_An_R,a_An_G,2.887,,,
c_SpCo_G,c_An_R,c_SpCo_G,2.602,,,
a_SpCo_R,a_An_B,a_SpCo_R,4.07,,,
a_An_R,a_An_R,a_SpCo_G,4.653,,,
a_SpCo_G,a_Co_G,a_SpCo_G,3.086,,,
a_Tr,a_An_B,a_Tr,2.753,,,
c_SpCo_B,c_Co_R,c_SpCo_B,1.652,,,
c_SpCo_B,c_An_G,c_SpCo_B,1.017,,,
a_Co_R,a_Co_R,a_CC,3.353,,,
c_An_B,c_An_R,c_An_B,4.604,,,
c_Tr,c_Co_B,c_Tr,1.517,,,
a_An_B,a_An_B,a_CC,2.402,,,
a_Tr,a_SpCo_G,a_Tr,1.201,,,
a_Co_B,a_Co_B,a_CC,6.14,,,
c_CC,c_An_G,c_CC,1.284,,,
a_SpCo_R,a_Co_R,a_SpCo_R,1.635,,,
a_SpCo_R,a_SpCo_R,a_SpCo_G,1.067,,,
c_Co_B,c_Co_B,c_CC,0.751,,,
a_Tr,a_Co_B,a_Tr,3.052,,,
a_Co_G,a_An_G,a_Co_G,5.222,,,
a_SpCo_B,a_Co_R,a_SpCo_B,4.27,,,
a_SpCo_G,a_An_G,a_SpCo_G,3.77,,,
a_SpCo_B,a_SpCo_B,a_Tr,1.618,,,
c_Co_R,c_Co_R,c_Co_G,1.101,,,
a_Tr,a_An_R,a_Tr,1.334,,,
a_CC,a_An_G,a_CC,2.335,,,
a_Tr,a_An_G,a_Tr,3.721,,,
a_An_B,a_An_B,a_Co_G,2.135,,,
c_Tr,c_An_G,c_Tr,0.667,,,
c_CC,c_An_R,c_CC,4.204,,,
a_SpCo_B,a_An_B,a_SpCo_B,2.819,,,
a_An_R,a_An_R,a_CC,1.351,,,
c_SatH_R,c_SatH_R,c_SatL_R,3.769,,,
a_Tr,a_SpCo_R,a_Tr,3.755,,,
c_An_B,c_An_B,c_CC,1.417,,,
a_SpCo_B,a_Co_B,a_SpCo_B,6.072,,,
a_Co_R,a_Co_R,a_SpCo_G,1.217,,,
a_An_B,a_An_B,a_An_G,1.035,,,
c_Co_R,c_Co_R,c_CC,1.501,,,
a_SpCo_R,a_Co_B,a_SpCo_R,2.152,,,
a_SpCo_B,a_SpCo_B,a_SpCo_G,1.084,,,
a_Co_R,a_An_R,a_Co_R,4.221,,,
c_Tr,c_Co_G,c_Tr,3.67,,,
c_Co_B,c_Co_B,c_Co_G,2.502,,,
c_Tr,c_SpCo_R,c_Tr,0.817,,,
c_Cool,c_Warm,c_Cool,2.919,,,
c_SpCo_B,c_Co_B,c_SpCo_B,1.334,,,
a_SpCo_R,a_An_G,a_SpCo_R,1.351,,,
c_SpCo_B,c_SpCo_B,c_SpCo_G,1.336,,,
c_SpCo_R,c_Co_B,c_SpCo_R,3.302,,,
a_An_R,a_An_R,a_Co_B,7.123,,,
c_SpCo_B,c_SpCo_B,c_CC,1.368,,,
c_CC,c_SpCo_G,c_CC,4.003,,,
c_Co_G,c_An_R,c_Co_G,1.352,,,
c_An_B,c_An_B,c_Co_G,2.052,,,
c_SatH_B,c_SatH_B,c_SatL_B,2.785,,,
a_An_R,a_An_R,a_Co_G,3.119,,,
c_SpCo_R,c_Co_R,c_SpCo_R,0.901,,,
c_An_B,c_An_B,c_An_G,1.435,,,
c_Tr,c_SpCo_G,c_Tr,1.134,,,
c_SpCo_G,c_Co_G,c_SpCo_G,1.434,,,
c_Co_R,c_An_G,c_Co_R,1.185,,,
c_Co_B,c_An_G,c_Co_B,0.867,,,
c_SpCo_B,c_Co_B,c_SpCo_B,2.47,,,
a_Co_R,a_Co_R,a_Co_G,3.919,,,
a_SpCo_B,a_Co_G,a_SpCo_B,1.668,,,
a_Co_B,a_Co_B,a_SpCo_G,3.887,,,
c_SpCo_B,c_SpCo_R,c_SpCo_B,1.117,,,
a_SpCo_B,a_An_G,a_SpCo_B,2.469,,,
c_SatL_G,c_SatH_G,c_SatL_G,5.372,,,
a_SatL_G,a_SatH_G,a_SatL_G,2.819,,,
a_Co_B,a_Co_B,a_Co_G,2.235,,,
a_Co_B,a_An_G,a_Co_B,2.536,,,
c_Tr,c_An_B,c_Tr,1.317,,,
c_SpCo_R,c_An_R,c_SpCo_R,0.784,,,
a_SpCo_R,a_Co_G,a_SpCo_R,3.47,,,
c_Co_R,c_Co_R,c_Co_B,7.874,,,
a_Co_R,a_Co_R,a_Co_B,2.585,,,
a_SpCo_B,a_SpCo_B,a_CC,1.118,,,
a_An_B,a_An_B,a_Co_R,3.636,,,
a_Tr,a_CC,a_Tr,1.051,,,
c_An_B,c_An_B,c_Co_B,1.618,,,
a_An_B,a_An_B,a_SpCo_G,1.584,,,
c_SpCo_R,c_Co_G,c_SpCo_R,1.118,,,
a_CC,a_SpCo_G,a_CC,3.17,,,
c_Co_R,c_Co_R,c_Tr,1.468,,,
a_SpCo_B,a_SpCo_R,a_SpCo_B,1.835,,,
c_Tr,c_An_R,c_Tr,0.867,,,
c_Co_R,c_An_R,c_Co_R,1.235,,,
c_SpCo_B,c_Co_G,c_SpCo_B,1.401,,,
c_SpCo_R,c_SpCo_R,c_SpCo_G,1.351,,,
c_SpCo_B,c_An_R,c_SpCo_B,0.9,,,
a_CC,a_SpCo_R,a_CC,7.357,,,
a_SatH_R,a_SatH_R,a_SatL_R,2.069,,,
c_SpCo_R,c_SpCo_R,c_CC,1.501,,,
a_Warm,a_Warm,a_Cool,2.502,,,
c_An_G,c_An_G,c_SpCo_G,3.002,,,
a_Tr,a_Co_R,a_Tr,2.169,,,
